Commit key of Architectural Topic I;Months since start project;Commit key of Architectural Topic II;Months since start project;Commit key of Architectural Topic III;Months since start project;Commit key of Architectural Topic IV;Months since start project;Commit key of Architectural Topic V;Months since start project;Commit key of Architectural Topic VI;Months since start project;Commit key of Architectural Topic VII;Months since start project;Commit key of Architectural Topic VIII;Months since start project;Commit key of Architectural Topic IX;Months since start project;Commit key of Architectural Topic X;Months since start project;Commit key of Architectural Topic XI;Months since start project;Commit key of Architectural Topic XII;Months since start project;Commit key of Architectural Topic XIII;Months since start project;Commit key of Architectural Topic XIV;Months since start project;Commit key of Architectural Topic XV;Months since start project
;;;;096cc30b7b1a1de803ccd0c32cf8150f748f6a82;132;;;;;06fc58a5697012a978f5b3bb85f2c3b71f227762;142;2ea2a9cc17a9ef6f6c6b9e22e270b369a69570fa;168;b38db25bf5580a91d4a4f44e37a259a172c3ade5;161;5287efea9e9296cde087fe9d485bd01e6f106a5a;117;1e12e319f0532ef6ea2293e14e45120f4e38052c;118;92732caed7312d8e51f19eb6d55223b2af29b323;163;;;7a0dba8bbf53266d01afef9b50fa9374bf383565;156;;;;
;;;;20792c851f5e4cd27d19d7f20a917cc806b88b0d;132;;;;;88490d08540384da73b171f4a04321a54d1addf7;138;0f4cf41b22bbcbfbb145e1ce3b15ded4e5303c02;167;f791e74673278325e1d0ba010bf6f1624cdf0edd;161;Average Time;22,2;8061a631c8fd1d4cf369703a3ec035178f8ba128;114;08246f9ab420bf9f3642fb35a31df326d0cbef19;161;;;c843c2f349e14d31732f3beb6ebb591e04780a96;149;;;;
;;;;8ba8db2b761d9e9ed12a2921df23d15cd5f0b275;118;;;;;d7da07d41f950e88b135eb5e0864fc7655e22ce9;135;c165e4700dc156a20ed793ca72a151a1cd9f5180;166;f4efa4f0383dc306bdb231a51abe96f2ffc2c2bc;161;;;Average Time;16;017506a5b1ef302a109bd88f0c78cc5a9a594dce;161;;;099a67cc4271f481625015ab67cd9253adb90934;148;;;;
;;;;Average Time;14,6666666666667;;;;;b7dbaac6b140ca5b3ddadd8c76eceebb00b9bbb3;131;766a17c876b90eb991619f9c42cc4ec0fd61d56b;163;80b92831c0251919b7f5ba2d36368d2232fbbf95;159;;;;;2655602c15b1599e602c6e4fcefa0b2442474a09;161;;;0bcc2b44773ef32f0bbff3cdf32978d70ea2a786;142;;;;
;;;;;;;;;;5dc2da819ffad77992844210bcd66529693f42b3;129;034f5139ee7399e994b56b262f9aa9967a130872;154;8220f00a5940df507d535234196d5653bcaae00f;157;;;;;b8792e241c8d4acdcd86727fb64a914473653b53;160;;;796659454ac64106c830fad711802e0a5ef8f60b;138;;;;
;;;;;;;;;;85c5a23720c4caca63a6e46aea482bb86b6959c9;129;b820ac98e120158aa1a3200d6d8b9d5715347840;136;ae80c992876029e9357800e8be1a15135497be40;157;;;;;a699a886e77a5b5c2e377940640848c88dbb8fab;160;;;66e4d6dfaef6fac8a39af9161b0d5cf2cfb0fe7d;137;;;;
;;;;;;;;;;c46324da2bd3b5925d4b46bb9f7e6f23c4ed6ed5;123;50511fbdef41b886383bc24e2125d2ed784d33da;122;5d43f4462b4f24ffdd00f62f86e7019e8b473efd;155;;;;;0776ff407a91b6922365dfd2c5a0a2f848405861;160;;;bd19bee7487b071dc3141d2797d29726be13a2d0;137;;;;
;;;;;;;;;;837d689e5507b58e7b2e01b9a02dec9cadb7673c;123;f1e600ff6dd744359bdf74b9ca6f2628d0c244cc;120;b8b760c07d9ca7d70873029d93809c2c2a87cf14;155;;;;;93d7796019036e1e435877dbfe46f609747fbf68;160;;;b3b3afe963713ccf6a69b319e0c8cc39fa06ee28;131;;;;
;;;;;;;;;;88ae749aed632eb1be02b8791e8c6e86b51200b6;120;efb5b23ba5c7e617e7601c7e40b9743f1e550acf;120;4e0792b9d1918733c048b1cce5089aa3c29f307f;154;;;;;4354e04bf2c3d3d8b47001f833d7575b9808a343;159;;;daca8830e4f3a1b8d0e305465579304e8ec1cf0a;119;;;;
;;;;;;;;;;07ee90ccb4438961a67c2e69a5fdfc4a1092d42e;120;Average Time;4,33333333333333;ab739fdf73f6f79e1c736a28aeceb3414c0ae99f;153;;;;;93fba871fc129830867dc85b4dd6238d598530b3;156;;;3b8d0322c3ecca0f537be2bca0490f156a953415;113;;;;
